GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
15,0,12.1514,237.221,165.172,9.84654e+006,-2.46243,116,0.5,2,0,4294967295,0,3,3,0
15,0,16.7314,248.724,219.45,1.11744e+006,-2.46243,116,0.5,2,0,4294967295,0,3,3,0
15,0,1.90201,392.271,54.66,107986,-2.34468,116,0.5,2,0,4294967295,0,3,3,0
15,0,13.1327,837.828,189.881,62170.5,-2.24328,116,0.5,2,0,4294967295,0,3,3,0
15,0,2.1524,60.8655,60.8655,2.16533e+006,-2.35147,116,0.5,2,0.348822,119,1,3,3,0
15,0,4.03314,432.679,96.6923,1.33654e+006,-2.34468,116,0.5,2,0,4294967295,0,3,3,0
15,0,51.8223,1513.52,439.576,1.44747,-2.20265,116,0.5,2,0,4294967295,0,3,3,0
15,0,11.9016,337.138,170.915,43349.6,-2.46243,116,0.5,2,0,4294967295,0,3,3,0
15,0,3.99318,1552.54,94.7865,310976,-2.24328,116,0.5,2,0,4294967295,0,3,3,0
15,0,9.45004,234.366,158.89,125164,-2.46243,116,0.5,2,0,4294967295,0,3,3,0
15,0,12.7148,1162.5,173.011,72590.2,-2.24328,116,0.5,2,0,4294967295,0,3,3,0
15,0,920.67,101415,101415,950.89,-2.18799,75,0.5,2,58830.3,95,1,44,20,24
15,0,133.327,12028.8,12028.8,1371.05,-2.24328,104,0.5,2,5697.52,118,1,15,14,1
15,0,1.95609,119.632,119.632,29.7729,-2.34468,113,0.5,2,288.787,117,1,6,4,2
15,0,381.15,16704.3,16704.3,2268.17,-2.71651,92,0.5,2,12385.2,103,1,27,11,16
15,0,4389.73,28117.8,28117.8,1922.17,-2.30426,92,0.5,2,17941.6,100,1,27,8,19
15,0,102.07,1758.31,1758.31,19.0683,-2.20265,99,0.5,2,3457.81,104,1,20,5,15
15,1,1356.36,31422,31422,138299,-2.46243,99,0.5,3,33543,106,1,20,7,13
15,1,1308.77,34198.9,11999.8,806689,-2.46243,111,0.5,3,0,4294967295,0,8,8,0
15,1,1153.72,35799.9,11673.5,4.29033e+006,-2.46243,114,0.5,3,0,4294967295,0,5,5,0
15,1,1363.09,31131,13615.8,564234,-2.46243,115,0.5,3,0,4294967295,0,4,4,0
15,1,1054.18,34744.7,12287.2,377580,-2.46243,115,0.5,3,0,4294967295,0,4,4,0
