GridcellIndex,FunctionalGroupIndex,TotalBiomass
2434,1,2.07203e+12
2435,0,3.0378e+12
2435,1,1.32787e+12
2436,0,4.22294e+12
2436,1,8.19269e+12
2437,0,1.03068e+12
2437,1,8.42879e+12
2438,0,9.66751e+11
2438,1,5.99114e+12
2439,0,9.20243e+11
2439,1,2.22504e+12
2440,0,8.02196e+11
2440,1,1.67241e+12
2441,0,5.75878e+11
2441,1,4.14349e+12
2442,0,7.79796e+11
2442,1,5.03118e+12
2443,0,8.40688e+11
2443,1,5.66424e+12
2444,0,5.10114e+11
2444,1,3.12234e+12
2445,0,9.01452e+11
2445,1,6.84764e+12
2446,0,9.1388e+11
2446,1,8.39483e+12
2447,0,1.20601e+12
2447,1,1.25594e+13
2448,0,1.00093e+12
2448,1,9.06678e+12
2449,0,8.01702e+11
2449,1,4.88787e+12
2450,0,1.5503e+12
2450,1,1.45674e+13
2451,0,1.3962e+12
2451,1,1.17104e+13
2452,0,1.72152e+12
2452,1,1.88267e+13
2453,0,1.78478e+12
2453,1,1.59865e+13
2454,0,1.85244e+12
2454,1,1.38771e+13
2455,0,1.50069e+12
2455,1,8.08896e+12
2456,0,1.63868e+12
2456,1,9.27132e+12
2457,0,1.7028e+12
2457,1,1.41547e+13
2458,0,1.35855e+12
2458,1,1.2321e+13
2459,0,1.34526e+12
2459,1,7.81986e+12
2460,0,1.32256e+12
2460,1,7.4569e+12
2461,0,1.75751e+12
2461,1,1.60466e+13
2462,0,1.58982e+12
2462,1,1.19504e+13
2463,0,1.62662e+12
2463,1,1.74687e+13
2464,0,1.30624e+12
2464,1,8.60299e+12
2465,0,1.01364e+12
2465,1,3.85811e+12
2466,0,1.4093e+12
2466,1,1.17436e+13
2467,0,1.13592e+12
2467,1,7.24285e+12
2468,0,1.732e+12
2468,1,1.47327e+13
2469,0,1.56764e+12
2469,1,1.16349e+13
2470,0,1.41301e+12
2470,1,9.94942e+12
2471,0,1.62536e+12
2471,1,1.27098e+13
2529,0,4.19844e+12
2529,1,1.11557e+13
2530,0,2.02533e+12
2530,1,1.81018e+12
2531,0,1.40943e+12
2531,1,1.13639e+13
2532,0,3.16428e+12
2532,1,2.19995e+12
2533,0,3.12064e+12
2533,1,1.878e+12
2534,0,2.86183e+12
2534,1,1.95064e+12
2535,0,4.64443e+12
2535,1,2.46895e+12
2536,0,1.49381e+12
2536,1,1.75356e+12
2537,0,8.27826e+11
2537,1,9.11208e+12
2538,0,1.10755e+12
2538,1,4.00854e+12
2539,0,1.10784e+12
2539,1,2.0429e+12
2540,0,8.4383e+11
2540,1,3.60453e+12
2541,0,5.00159e+11
2541,1,2.19557e+12
2542,0,5.66815e+11
2542,1,5.00107e+12
2543,0,7.5373e+11
2543,1,1.04664e+13
2544,0,5.32718e+11
2544,1,3.06285e+12
2545,0,8.53053e+11
2545,1,6.14521e+12
2546,0,7.42595e+11
2546,1,4.23749e+12
2547,0,6.48308e+11
2547,1,5.72181e+12
2548,0,7.12851e+11
2548,1,6.25378e+12
2549,0,9.37898e+11
2549,1,8.81216e+12
2550,0,1.00258e+12
2550,1,9.08905e+12
2551,0,9.67155e+11
2551,1,4.29385e+12
2552,0,1.02328e+12
2552,1,6.53715e+12
2553,0,1.51795e+12
2553,1,1.3534e+13
2554,0,1.66141e+12
2554,1,1.37539e+13
2555,0,1.0014e+12
2555,1,4.54796e+12
2556,0,1.1648e+12
2556,1,4.9496e+12
2557,0,1.48026e+12
2557,1,1.44774e+13
2558,0,1.44382e+12
2558,1,1.1799e+13
2559,0,1.20716e+12
2559,1,9.09023e+12
2560,0,1.38091e+12
2560,1,1.45758e+13
2561,0,1.64551e+12
2561,1,1.62223e+13
2562,0,1.15556e+12
2562,1,5.90564e+12
2563,0,1.52798e+12
2563,1,1.76236e+13
2564,0,1.35636e+12
2564,1,1.1183e+13
2565,0,1.00589e+12
