GridcellIndex,IsMarine,GetRealm,GetLatitudeIndex,GetLongitudeIndex,GetCellArea,GetGridcellRealm,GetGridcellLandMask,AvailableWater,GetGridcellHanpp,TemperatureRange,Temp,GroundFrost,Precipitation,TerrestrialNPP,Get_Ecto_max,Get_Endo_C_max,Get_Endo_H_max,Get_Endo_O_max,TotalPrecip,Seasonality,BreedingSeason,AnnualTemperature,SDTemperature,ExpTDevWeight,AET,TotalAET,FractionMonthFrost,FractionYearFrost,FractionYearFire
4664,0,2,46,64,6857.53,2,1,591.98,17.37,7.23148,12.6433,10.0285,69.2684,0.503331,-9999,-9999,-9999,-9999,483.218,0.0826074,0,2.08703,7.75313,0.000294522,57.0705,393.8,0.334284,0.770419,0
4665,0,2,46,65,6857.53,2,1,578.313,16.0751,7.30613,12.5817,10.1936,69.6361,0.4729,-9999,-9999,-9999,-9999,482.141,0.0807,0,2.10603,7.70953,0.000304053,56.8912,393.7,0.339786,0.774234,0
4666,0,2,46,66,6857.53,2,1,560.661,18.5888,7.31615,12.5138,10.2313,70.4669,0.453869,-9999,-9999,-9999,-9999,482.608,0.0798324,0,2.26816,7.48381,0.000387489,56.5767,395.666,0.341044,0.777544,0
4667,0,2,46,67,6857.53,2,1,536.657,24.6838,7.25847,12.5164,10.2013,71.984,0.446615,-9999,-9999,-9999,-9999,486.528,0.0807991,0,2.36127,7.45972,0.000401541,56.8059,398.044,0.340045,0.780824,0
4668,0,2,46,68,6857.53,2,1,504.755,26.8195,7.11624,12.4781,10.1213,74.5017,0.425171,-9999,-9999,-9999,-9999,495.156,0.0846055,0,2.61445,7.30569,0.000500687,56.7205,403.469,0.337378,0.784283,0
4669,0,2,46,69,6857.53,2,1,459.974,27.3519,6.90102,12.404,9.94422,77.7248,0.381598,29.2,388750,56.9994,-9999,505.421,0.0926719,0,2.78948,7.22013,0.000555552,56.706,407.488,0.331474,0.787629,0
4670,0,2,46,70,6857.53,2,1,393.068,26.5416,6.59836,12.2732,9.57787,81.5574,0.299213,29.2,388750,56.9994,-9999,514.725,0.130026,0,3.14607,7.28806,0.000651942,56.8942,418.671,0.319262,0.790627,0
4671,0,2,46,71,6857.53,2,1,296.159,22.2724,6.5152,12.3773,9.99017,83.1545,0.330945,29.2,388750,56.9994,-9999,535.04,0.0893161,0,3.39751,7.19026,0.000700097,57.3837,425.019,0.333006,0.795241,0
4672,0,2,46,72,6857.53,2,1,231.747,17.6471,6.38905,13.0106,10.3096,84.9083,0.379291,29.2,388750,-9999,-9999,554.723,0.0827267,0,3.443,7.49863,0.000468142,59.6172,429.495,0.343652,0.799493,0
4673,0,2,46,73,6857.53,2,1,100,24.3915,6.11148,13.5968,10.7308,86.0607,0.417323,29.2,388750,541460,99949.4,576.748,0.0846645,0,3.82687,8.81173,0.000288569,62.9477,458.008,0.357694,0.83485,0
4674,0,2,46,74,6857.53,2,1,100,0.0638693,6.10328,13.4038,11.94,88.2049,0.387795,29.2,388750,541460,99949.4,598.085,0.0742836,0,3.11919,10.401,0.000119324,63.0855,454.553,0.398,0.842326,0
4675,0,2,46,75,6857.53,2,1,100,0,6.10164,13.2636,12.1489,87.1082,0.240157,29.2,388750,541460,99949.4,603.633,0.0573578,0,3.00881,10.4257,0.00012228,62.5905,455.601,0.404962,0.81314,0
4676,0,2,46,76,6857.53,2,1,100,0,6.19016,13.1602,11.9893,87.0525,0.269685,29.2,388750,541460,99949.4,606.848,0.0630755,0,2.54145,11.0934,7.78501e-05,62.4552,452.424,0.399645,0.806484,0
4677,0,2,46,77,6857.53,2,1,100,0,6.3082,13.0512,12.1116,86.9787,0.299213,29.2,388750,541460,99949.4,609.73,0.0630182,0,2.42647,11.0614,7.86266e-05,62.0258,451.915,0.403721,0.806066,0
4678,0,2,46,78,6857.53,2,1,700,5.58757,6.53607,12.9058,12.5897,86.8721,0.32874,29.2,388750,541460,99949.4,619.864,0.0612394,0,2.48699,11.0205,8.53677e-05,61.6812,455.499,0.419656,0.80739,0
4679,0,2,46,79,6857.53,2,1,700,0,6.77213,12.7869,12.8261,86.7459,0.240157,29.2,388750,541460,99949.4,629.19,0.0518708,0,2.63971,10.8223,0.000104197,61.3932,456.956,0.427536,0.807006,0
4680,0,2,46,80,6857.53,2,1,100,22.8702,7.09344,12.8709,11.9597,83.8984,0.240157,29.2,388750,541460,99949.4,621.682,0.048761,0,2.9147,10.7863,0.000114275,62.0847,455.553,0.398656,0.795327,0
4681,0,2,46,81,6857.53,2,1,700,0,7.49344,13.4652,12.46,82.2934,0.269685,29.2,388750,541460,99949.4,639.872,0.0463464,0,3.57008,10.6701,0.00012208,63.7143,480.94,0.415333,0.797766,0
4682,0,2,46,82,6857.53,2,1,800,0,7.49672,12.7953,13.0062,79.6869,0.21063,29.2,388750,541460,99949.4,656.239,0.0443615,0,3.38883,10.3856,0.000164126,61.875,471.973,0.433541,0.802734,0
4683,0,2,46,83,6857.53,2,1,800,0,7.50328,12.5349,13.7577,78.3,0.181102,29.2,388750,541460,99949.4,678.502,0.0468432,0,3.30946,10.2276,0.000187803,61.0722,467.882,0.45859,0.812367,0
4684,0,2,46,84,6857.53,2,1,700,3.61078,7.62787,11.8977,16.0951,77.1148,0.181102,29.2,388750,541460,99949.4,717.523,0.0438722,0,2.65314,10.1553,0.000194861,58.6836,446.942,0.536503,0.865678,0
4685,0,2,46,85,6857.53,2,1,700,0,7.7459,11.3343,17.4139,72.9459,0.151575,29.2,388750,541460,99949.4,747.348,0.0463297,0,1.89433,10.1517,0.000192282,56.5053,424.401,0.580464,0.908445,0
4686,0,2,46,86,6857.53,2,1,700,6.3043,7.95738,11.0029,17.1105,70.941,0.181102,29.2,388750,541460,99949.4,777.959,0.0511964,0,1.72123,9.98809,0.000233156,55.5466,417.262,0.57035,0.913931,0
4687,0,2,46,87,6857.53,2,1,700,19.4058,8.26229,12.1149,16.8066,70.9049,0.32874,29.2,388750,541460,99949.4,836.834,0.0843008,0,2.92258,9.67252,0.000277975,59.4409,447.797,0.560219,0.924084,0
4688,0,2,46,88,6857.53,2,1,681.19,18.5653,7.46557,11.9244,11.2039,79.1852,0.417323,29.2,388750,86034,99949.4,860.8,0.103314,0,3.11717,8.29082,0.000561871,58.0284,433.019,0.373464,0.807397,0
4689,1,1,46,89,6857.53,1,0,-9999,-9999,-9999,10.6078,-9999,-9999,-9999,29.2,388750,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4690,1,1,46,90,6857.53,1,0,-9999,-9999,-9999,9.83889,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4691,1,1,46,91,6857.53,1,0,-9999,-9999,-9999,9.65838,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4692,1,1,46,92,6857.53,1,0,-9999,-9999,-9999,10.2711,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4693,1,1,46,93,6857.53,1,0,-9999,-9999,-9999,11.0849,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4694,1,1,46,94,6857.53,1,0,-9999,-9999,-9999,11.2713,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4695,1,1,46,95,6857.53,1,0,-9999,-9999,-9999,11.4623,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4696,1,1,46,96,6857.53,1,0,-9999,-9999,-9999,11.4653,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4697,1,1,46,97,6857.53,1,0,-9999,-9999,-9999,11.5852,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4698,1,1,46,98,6857.53,1,0,-9999,-9999,-9999,11.5351,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4699,1,1,46,99,6857.53,1,0,-9999,-9999,-9999,11.5994,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4700,1,1,47,0,6677.1,1,0,-9999,-9999,-9999,15.3867,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4701,1,1,47,1,6677.1,1,0,-9999,-9999,-9999,15.6177,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4702,1,1,47,2,6677.1,1,0,-9999,-9999,-9999,15.7581,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4703,1,1,47,3,6677.1,1,0,-9999,-9999,-9999,15.8723,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
4704,1,1,47,4,6677.1,1,0,-9999,-9999,-9999,16.0091,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-119988,0.0833333,1,0,0,0.0833333,25,300,0,0,0
